#Procedure: <__main__.IVProcedure>
#Parameters:
#	Current Step: 0.1 mA
#	Delay Time: 20 ms
#	Maximum Current: 10 mA
#	Minimum Current: 0 mA
#	Voltage Range: 10 V
#Data:
Current (A),Voltage (V),Resistance (Ohm)
0.0,9.73988415e-07,nan
0.0001,-6.59302103e-07,-0.006593021029999999
0.0002,-2.83702279e-06,-0.01418511395
0.00030000000000000003,-2.83702279e-06,-0.009456742633333333
0.0004,-5.55917366e-06,-0.01389793415
0.0005,-2.29259262e-06,-0.00458518524
0.0006000000000000001,-3.38145297e-06,-0.0056357549499999994
0.0007000000000000001,-3.38145297e-06,-0.004830647099999999
0.0008,-2.83702279e-06,-0.0035462784875
0.0009000000000000001,-2.83702279e-06,-0.0031522475444444443
0.001,-5.55917366e-06,-0.00555917366
0.0011,-3.92588314e-06,-0.0035689846727272726
0.0012000000000000001,-2.29259262e-06,-0.00191049385
0.0013000000000000002,-4.47031331e-06,-0.0034387025461538453
0.0014000000000000002,-1.20373176e-06,-0.0008598083999999999
0.0015,-1.20373176e-06,-0.00080248784
0.0016,-3.38145215e-06,-0.00211340759375
0.0017000000000000001,-1.74816185e-06,-0.0010283305
0.0018000000000000002,-2.83702205e-06,-0.0015761233611111109
0.0019000000000000002,-1.20373176e-06,-0.0006335430315789473
0.002,-2.83702205e-06,-0.0014185110249999998
0.0021000000000000003,-4.47031235e-06,-0.0021287201666666663
0.0022,-3.92588225e-06,-0.0017844919318181817
0.0023000000000000004,-2.83702205e-06,-0.0012334878478260866
0.0024000000000000002,-5.55917254e-06,-0.0023163218916666664
0.0025,-2.29259195e-06,-0.00091703678
0.0026000000000000003,-1.20373176e-06,-0.0004629737538461538
0.0027,-3.38145215e-06,-0.001252389685185185
0.0028000000000000004,-4.47031235e-06,-0.001596540125
0.0029000000000000002,-2.83702205e-06,-0.0009782834655172412
0.003,-3.38145215e-06,-0.0011271507166666667
0.0031000000000000003,-4.47031235e-06,-0.0014420362419354839
0.0032,-5.01474244e-06,-0.0015671070125
0.0033000000000000004,-3.38145238e-06,-0.0010246825393939393
0.0034000000000000002,-2.83702226e-06,-0.0008344183117647058
0.0035,-1.74816202e-06,-0.0004994748628571428
0.0036000000000000003,-5.01474274e-06,-0.0013929840944444443
0.0037,-5.01474274e-06,-0.0013553358756756757
0.0038000000000000004,-7.73689334e-06,-0.0020360245631578944
0.0039000000000000003,-5.55917286e-06,-0.0014254289384615384
0.004,-8.82575358e-06,-0.002206438395
0.0041,-3.9258825e-06,-0.0009575323170731705
0.004200000000000001,-4.47031262e-06,-0.0010643601476190475
0.0043,-4.47031262e-06,-0.0010396075860465116
0.0044,-5.55917286e-06,-0.0012634483772727273
0.0045000000000000005,-5.55917286e-06,-0.0012353717466666665
0.004600000000000001,-3.38145238e-06,-0.0007350983434782608
0.0047,-2.29259214e-06,-0.00048778556170212765
0.0048000000000000004,-6.6480331e-06,-0.0013850068958333331
0.004900000000000001,-7.19246322e-06,-0.0014678496367346936
0.005,-3.9258825e-06,-0.0007851764999999999
0.0051,-2.83702226e-06,-0.0005562788745098039
0.005200000000000001,-2.29259214e-06,-0.00044088310384615383
0.005300000000000001,-4.47031179e-06,-0.000843455054716981
0.0054,-2.83702163e-06,-0.0005253743759259259
0.0055,-1.14871347e-07,-2.0885699454545455e-05
0.005600000000000001,-2.29259157e-06,-0.0004093913517857142
0.0057,-3.92588174e-06,-0.0006887511824561404
0.0058000000000000005,-3.38145168e-06,-0.0005830089103448276
0.005900000000000001,-3.92588174e-06,-0.0006654036847457627
0.006,-2.83702163e-06,-0.0004728369383333333
0.0061,-2.29259157e-06,-0.00037583468360655734
0.006200000000000001,-3.38145168e-06,-0.0005453954322580645
0.006300000000000001,-3.38145168e-06,-0.0005367383619047618
0.0064,-3.38145168e-06,-0.000528351825
0.006500000000000001,-6.59301403e-07,-0.00010143098507692306
0.006600000000000001,-2.29259157e-06,-0.00034736235909090907
0.0067,-2.83702163e-06,-0.0004234360641791045
0.0068000000000000005,-1.74816151e-06,-0.000257082575
0.006900000000000001,-1.74816151e-06,-0.0002533567405797101
0.007,-2.29259157e-06,-0.00032751308142857144
0.0071,-3.38145168e-06,-0.0004762608
0.007200000000000001,-2.83702163e-06,-0.00039403078194444444
0.007300000000000001,-1.20373057e-06,-0.00016489459863013695
0.0074,-6.64802985e-06,-0.0008983824121621621
0.0075,-2.29259042e-06,-0.00030567872266666667
0.007600000000000001,-2.83702035e-06,-0.00037329215131578944
0.0077,-3.38145028e-06,-0.00043914938701298704
0.0078000000000000005,-6.59300638e-07,-8.452572282051282e-05
0.0079,-1.7481605e-06,-0.0002212861392405063
0.008,-1.7481605e-06,-0.00021852006249999998
0.0081,-5.01474007e-06,-0.000619103712345679
0.0082,-2.83702035e-06,-0.00034597809146341463
0.0083,-2.29259042e-06,-0.000276215713253012
0.008400000000000001,-1.20373057e-06,-0.0001433012583333333
0.0085,-6.59300638e-07,-7.756478094117646e-05
0.0086,-1.7481605e-06,-0.00020327447674418605
0.008700000000000001,-6.64802985e-06,-0.0007641413620689655
0.0088,-2.83702035e-06,-0.00032238867613636364
0.0089,-1.7481605e-06,-0.00019642252808988763
0.009000000000000001,-2.83702035e-06,-0.0003152244833333333
0.0091,-5.01474007e-06,-0.0005510703373626374
0.009200000000000002,-4.47031014e-06,-0.00048590327608695645
0.009300000000000001,-2.29258985e-06,-0.0002465150376344086
0.0094,-2.83701972e-06,-0.0003018106085106383
0.0095,-6.59300256e-07,-6.940002694736842e-05
0.009600000000000001,-5.01473917e-06,-0.0005223686635416667
0.009700000000000002,-5.55916904e-06,-0.0005731102103092783
0.009800000000000001,-3.38144958e-06,-0.00034504587551020404
0.0099,-8.28131836e-06,-0.000836496804040404
0.01,-4.47030931e-06,-0.00044703093100000003
0.0099,-6.1035989e-06,-0.0006165251414141414
0.009800000000000001,-3.38144958e-06,-0.00034504587551020404
0.009700000000000002,-7.19245863e-06,-0.000741490580412371
0.009600000000000001,-3.92587945e-06,-0.0004089457760416666
0.009500000000000001,-6.1035989e-06,-0.000642484094736842
0.009400000000000002,-5.01473917e-06,-0.0005334828904255318
0.009300000000000003,-4.47030931e-06,-0.0004806784204301074
0.009200000000000003,-4.47030931e-06,-0.00048590318586956506
0.009100000000000004,-7.7368885e-06,-0.0008502075274725272
0.009000000000000005,-6.1035989e-06,-0.0006781776555555552
0.008900000000000003,-6.1035989e-06,-0.0006857976292134829
0.008800000000000004,-5.55916888e-06,-0.000631723736363636
0.008700000000000005,-3.38144946e-06,-0.0003886723517241377
0.008600000000000005,-4.47030917e-06,-0.0005198033918604649
0.008500000000000006,-4.47030917e-06,-0.0005259187258823526
0.008400000000000006,-4.47030917e-06,-0.0005321796630952377
0.008300000000000007,-3.38144946e-06,-0.00040740354939759006
0.008200000000000006,-4.47030917e-06,-0.0005451596548780484
0.008100000000000007,-5.55916888e-06,-0.0006863171456790118
0.008000000000000007,-3.92587932e-06,-0.0004907349149999996
0.007900000000000008,-6.64802859e-06,-0.0008415226063291131
0.007800000000000008,-8.28131815e-06,-0.001061707455128204
0.007700000000000008,-5.55916888e-06,-0.0007219699844155836
0.007600000000000009,-4.47030917e-06,-0.0005881985749999994
0.007500000000000009,-5.55916888e-06,-0.0007412225173333324
0.007400000000000009,-6.10359873e-06,-0.0008248106391891882
0.00730000000000001,-8.28131815e-06,-0.001134427143835615
0.00720000000000001,-5.01473903e-06,-0.0006964915319444435
0.007100000000000011,-5.55916888e-06,-0.000782981532394365
0.0070000000000000106,-6.10359873e-06,-0.0008719426757142843
0.006900000000000011,-3.38144911e-06,-0.0004900650884057963
0.006800000000000012,-6.10359822e-06,-0.0008975879735294102
0.0067000000000000115,-4.47030876e-06,-0.000667210262686566
0.006600000000000012,-5.01473858e-06,-0.0007598088757575744
0.006500000000000013,-2.29258947e-06,-0.0003527060723076916
0.006400000000000013,-3.92587894e-06,-0.0006134185843749987
0.006300000000000013,-1.74815965e-06,-0.00027748565873015815
0.006200000000000014,-5.01473858e-06,-0.0008088288032258047
0.006100000000000014,-4.47030876e-06,-0.0007328375016393425
0.006000000000000014,-1.74815965e-06,-0.00029135994166666596
0.005900000000000015,-3.38144911e-06,-0.0005731269677966088
0.005800000000000015,-3.38144911e-06,-0.0005830084672413777
0.005700000000000016,-2.83701929e-06,-0.0004977226824561389
0.0056000000000000156,-3.38144911e-06,-0.000603830198214284
0.005500000000000016,-5.01473858e-06,-0.0009117706509090882
0.005400000000000017,-5.01473858e-06,-0.0009286552925925897
0.0053000000000000165,-5.5591684e-06,-0.0010488996981132042
0.005200000000000017,-2.83701929e-06,-0.0005455806326923059
